MSFT (Microsoft Corporation),204.01,-4.03
Jul 16 2020 @ 13:53 ET,Bid,204.03,Ask,204.04,Size,1x3,Vol,10527616
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/17/2020,MSFT200717C00130000,73.39,-4.035,73.2,74.9,1,3.3152,0.9945,0.0004,647,130.000,MSFT200717P00130000,0.01,0,0,0.01,140,2.532,-0.0005,0.0001,2707
07/17/2020,MSFT200717C00135000,69.8,-2.7,67.15,69.25,2,0.02,1,0.0005,268,135.000,MSFT200717P00135000,0.01,0,0,0.01,0,2.3034,-0.0005,0.0001,4961
07/17/2020,MSFT200717C00140000,67.68,0,63.85,64.25,0,2.8882,0.9925,0.0006,644,140.000,MSFT200717P00140000,0.04,0.035,0,0.01,1,2.1041,-0.0005,0.0001,6309
07/17/2020,MSFT200717C00145000,58.88,-3.52,58.4,59.75,23,2.6854,0.9911,0.0008,768,145.000,MSFT200717P00145000,0.01,0.005,0,0.01,2,2.001,-0.0009,0.0001,4981
07/17/2020,MSFT200717C00150000,54.84,-2.535,53.85,54.85,14,3.0074,0.9731,0.0018,1361,150.000,MSFT200717P00150000,0.02,0.015,0,0.01,3,1.8287,-0.001,0.0002,12631
07/17/2020,MSFT200717C00155000,48.08,-4.32,48.1,49.2,10,0.02,1,0.0025,1699,155.000,MSFT200717P00155000,0.01,0.005,0,0.01,33,1.5602,-0.0006,0.0001,7706
07/17/2020,MSFT200717C00160000,43.93,-3.32,43.1,44.95,30,1.8433,0.9924,0.001,1723,160.000,MSFT200717P00160000,0.01,0,0,0.01,119,1.376,-0.0006,0.0001,8418
07/17/2020,MSFT200717C00165000,39.24,-3.235,38.8,39.85,14,2.1825,0.9652,0.0031,3325,165.000,MSFT200717P00165000,0.01,-0.01,0,0.02,36,1.376,-0.0024,0.0005,8665
07/17/2020,MSFT200717C00170000,33.95,-3.5,33.15,34.2,42,0.02,1,0.0041,4759,170.000,MSFT200717P00170000,0.02,-0.01,0.01,0.02,63,1.251,-0.0038,0.0008,8864
07/17/2020,MSFT200717C00175000,28.99,-3.46,28.85,29.8,57,1.6526,0.9573,0.0049,4452,175.000,MSFT200717P00175000,0.03,-0.01,0.01,0.02,203,1.0635,-0.0042,0.001,6923
07/17/2020,MSFT200717C00177500,30.43,0,26.3,26.85,0,1.2242,0.9815,0.0033,55,177.500,MSFT200717P00177500,0.03,-0.02,0.02,0.03,16,1.0145,-0.0062,0.0015,597
07/17/2020,MSFT200717C00180000,23.9,-3.5,23.85,24.2,271,0.9484,0.992,0.002,5973,180.000,MSFT200717P00180000,0.03,-0.03,0.02,0.03,217,0.9324,-0.0072,0.0019,9088
07/17/2020,MSFT200717C00182500,21,-4.075,21.25,22.35,3,1.2694,0.9471,0.0075,139,182.500,MSFT200717P00182500,0.04,-0.03,0.03,0.04,92,0.874,-0.0101,0.0027,2066
07/17/2020,MSFT200717C00185000,19.12,-3.33,18.35,19.65,315,0.7258,0.9929,0.0024,15273,185.000,MSFT200717P00185000,0.05,-0.025,0.04,0.05,143,0.8083,-0.0136,0.0038,7300
07/17/2020,MSFT200717C00187500,16.41,-3.615,16.15,17.5,45,1.0395,0.932,0.0112,115,187.500,MSFT200717P00187500,0.06,-0.035,0.05,0.07,556,0.7408,-0.019,0.0055,1715
07/17/2020,MSFT200717C00190000,14.19,-3.26,14,14.2,550,0.6993,0.9682,0.009,10235,190.000,MSFT200717P00190000,0.08,-0.04,0.07,0.09,1040,0.6727,-0.0271,0.0082,11603
07/17/2020,MSFT200717C00192500,11.3,-3.7,11.4,11.8,7,0.5677,0.9686,0.011,170,192.500,MSFT200717P00192500,0.11,-0.04,0.11,0.12,420,0.6075,-0.0409,0.0128,3814
07/17/2020,MSFT200717C00195000,9.16,-3.515,9.1,9.4,360,0.578,0.9229,0.0221,9761,195.000,MSFT200717P00195000,0.19,-0.01,0.17,0.19,2609,0.5457,-0.0658,0.0208,7891
07/17/2020,MSFT200717C00197500,7,-3.25,6.7,7,164,0.5112,0.8762,0.0354,887,197.500,MSFT200717P00197500,0.34,0.05,0.31,0.33,4220,0.4944,-0.1159,0.035,3898
07/17/2020,MSFT200717C00200000,4.65,-3.3,4.6,4.75,2651,0.463,0.7836,0.0561,20962,200.000,MSFT200717P00200000,0.65,0.175,0.62,0.64,12578,0.4586,-0.2143,0.0563,17686
07/17/2020,MSFT200717C00202500,2.87,-2.855,2.8,2.87,7442,0.437,0.6241,0.0769,1948,202.500,MSFT200717P00202500,1.28,0.445,1.26,1.3,7696,0.4348,-0.3754,0.0772,7305
07/17/2020,MSFT200717C00205000,1.49,-2.36,1.48,1.51,23459,0.4292,0.426,0.0808,6693,205.000,MSFT200717P00205000,2.46,0.975,2.42,2.48,4655,0.4275,-0.5775,0.081,8074
07/17/2020,MSFT200717C00207500,0.68,-1.73,0.69,0.71,10377,0.4318,0.2419,0.064,5082,207.500,MSFT200717P00207500,4.2,1.67,4.1,4.2,1372,0.4268,-0.7608,0.0644,5355
07/17/2020,MSFT200717C00210000,0.3,-1.08,0.28,0.3,12576,0.4406,0.1197,0.0401,20174,210.000,MSFT200717P00210000,6.2,2.2,6.15,6.4,1407,0.4432,-0.8789,0.0402,8594
07/17/2020,MSFT200717C00212500,0.14,-0.6,0.12,0.13,5822,0.4649,0.0578,0.022,9982,212.500,MSFT200717P00212500,8.5,2.65,8.5,8.75,405,0.4595,-0.9443,0.0216,3809
07/17/2020,MSFT200717C00215000,0.07,-0.315,0.07,0.08,7803,0.5125,0.0331,0.0127,16578,215.000,MSFT200717P00215000,10.94,2.965,10.9,11.3,411,0.5364,-0.9603,0.0141,2670
07/17/2020,MSFT200717C00217500,0.04,-0.17,0.04,0.05,1685,0.5566,0.0194,0.0075,9135,217.500,MSFT200717P00217500,13.55,3.2,13.3,13.7,58,0.5008,-0.9892,0.005,466
07/17/2020,MSFT200717C00220000,0.03,-0.095,0.02,0.03,4659,0.5895,0.0109,0.0043,32836,220.000,MSFT200717P00220000,16.3,3.7,15.25,16.15,15,0,-0.9923,0.0034,412
07/17/2020,MSFT200717C00222500,0.01,-0.07,0.01,0.02,413,0.6211,0.0061,0.0025,6425,222.500,MSFT200717P00222500,18.9,3.7,18.05,19.05,2,0.6837,-0.9886,0.0039,172
07/17/2020,MSFT200717C00225000,0.01,-0.04,0.01,0.02,817,0.6924,0.0056,0.002,8505,225.000,MSFT200717P00225000,21.05,3.5,20.75,21.35,5,0.7191,-0.9927,0.0025,63
07/17/2020,MSFT200717C00227500,0.01,-0.025,0,0.01,117,0.6529,0.0013,0.0006,3235,227.500,MSFT200717P00227500,21.5,0,23.3,24.15,0,1.1051,-0.9602,0.0069,15
07/17/2020,MSFT200717C00230000,0.01,-0.015,0,0.01,555,0.7206,0.0014,0.0006,9711,230.000,MSFT200717P00230000,19.8,0,25.65,26.4,0,0.8925,-0.9919,0.0022,171
07/17/2020,MSFT200717C00232500,0.01,-0.015,0,0.01,117,0.8021,0.0017,0.0006,752,232.500,MSFT200717P00232500,0,0,28.05,28.8,0,0,-0.9889,0.0025,0
07/17/2020,MSFT200717C00235000,0.01,-0.005,0,0.01,50,0.8322,0.0012,0.0004,2375,235.000,MSFT200717P00235000,27.3,0,30.75,32.5,0,1.7164,-0.9252,0.0073,39
07/17/2020,MSFT200717C00240000,0.01,0.005,0,0.01,124,0.9703,0.0014,0.0004,4284,240.000,MSFT200717P00240000,26,0,35.1,37.9,0,1.7931,-0.9439,0.0056,168
07/17/2020,MSFT200717C00250000,0.01,0.005,0,0.01,54,1.1474,0.0008,0.0002,8830,250.000,MSFT200717P00250000,44.85,0,45.7,46.25,0,0,-0.9851,0.002,71
07/24/2020,MSFT200724C00150000,53.85,-3.675,53.3,54.95,27,0.9398,0.9882,0.0011,44,150.000,MSFT200724P00150000,0.02,-0.015,0,0.04,207,0.7551,-0.0027,0.0004,544
07/24/2020,MSFT200724C00155000,48.1,-4.325,48.55,49.9,9,0.9434,0.9784,0.0018,6,155.000,MSFT200724P00155000,0.03,0,0,0.06,0,0.7153,-0.0043,0.0006,137
07/24/2020,MSFT200724C00160000,43.36,-4.165,43.2,44.95,1,0.7096,0.9906,0.0012,26,160.000,MSFT200724P00160000,0.05,0.005,0.01,0.05,2,0.6357,-0.0045,0.0007,572
07/24/2020,MSFT200724C00162500,48.45,0,41.2,42.45,0,0.8439,0.9693,0.0027,1,162.500,MSFT200724P00162500,0.06,0.01,0.02,0.06,4,0.6244,-0.0064,0.001,304
07/24/2020,MSFT200724C00165000,38.75,-3.775,38.85,39.95,20,0.8356,0.9612,0.0033,35,165.000,MSFT200724P00165000,0.06,-0.015,0.05,0.06,59,0.6087,-0.0086,0.0013,712
07/24/2020,MSFT200724C00167500,42.57,0,36.3,37.55,0,0.7883,0.9587,0.0037,28,167.500,MSFT200724P00167500,0.1,0.005,0.06,0.09,13,0.5937,-0.0116,0.0017,121
07/24/2020,MSFT200724C00170000,34.35,-3.1,33.25,34.45,7,0.02,1,0.0018,53,170.000,MSFT200724P00170000,0.14,0.02,0.09,0.12,13,0.5826,-0.0162,0.0023,849
07/24/2020,MSFT200724C00172500,42.1,0,31.5,31.85,0,0.5761,0.977,0.0031,15,172.500,MSFT200724P00172500,0.15,-0.005,0.14,0.16,57,0.5726,-0.0224,0.0031,649
07/24/2020,MSFT200724C00175000,28.99,-3.61,29.05,29.45,1,0.5783,0.9657,0.0043,124,175.000,MSFT200724P00175000,0.23,0.03,0.19,0.23,133,0.5615,-0.0305,0.004,793
07/24/2020,MSFT200724C00177500,26.6,-3.625,26.4,27.65,1,0.6255,0.938,0.0064,73,177.500,MSFT200724P00177500,0.3,0.03,0.28,0.32,60,0.5542,-0.0424,0.0054,423
07/24/2020,MSFT200724C00180000,24.41,-3.49,24.35,24.65,22,0.561,0.9379,0.0072,226,180.000,MSFT200724P00180000,0.41,0.04,0.4,0.43,395,0.5445,-0.0568,0.0069,1527
07/24/2020,MSFT200724C00182500,25.35,0,22,22.35,0,0.553,0.918,0.009,73,182.500,MSFT200724P00182500,0.6,0.1,0.6,0.61,281,0.543,-0.0784,0.0089,618
07/24/2020,MSFT200724C00185000,20,-3.2,19.6,20,31,0.5256,0.9008,0.0109,447,185.000,MSFT200724P00185000,0.84,0.15,0.82,0.85,475,0.538,-0.1041,0.011,2437
07/24/2020,MSFT200724C00187500,16.84,-4.06,17.55,18.05,8,0.555,0.8555,0.0135,545,187.500,MSFT200724P00187500,1.16,0.22,1.15,1.19,353,0.5358,-0.1367,0.0134,2247
07/24/2020,MSFT200724C00190000,15.52,-3.13,15.5,15.8,111,0.5378,0.8229,0.0159,1158,190.000,MSFT200724P00190000,1.62,0.33,1.6,1.66,1400,0.5392,-0.1776,0.0159,4216
07/24/2020,MSFT200724C00192500,13.5,-3.225,13.6,13.9,109,0.5426,0.7756,0.0181,853,192.500,MSFT200724P00192500,2.24,0.485,2.2,2.25,465,0.5431,-0.2246,0.0181,1132
07/24/2020,MSFT200724C00195000,12,-2.7,11.9,12.1,113,0.5489,0.723,0.0201,1631,195.000,MSFT200724P00195000,2.96,0.63,2.95,3.05,1221,0.5515,-0.2777,0.02,2926
07/24/2020,MSFT200724C00197500,10.4,-2.625,10.35,10.5,242,0.557,0.6669,0.0214,793,197.500,MSFT200724P00197500,3.91,0.86,3.8,3.9,592,0.5548,-0.3326,0.0215,1551
07/24/2020,MSFT200724C00200000,9,-2.3,8.9,9.05,1503,0.563,0.6094,0.0224,2403,200.000,MSFT200724P00200000,4.96,1.06,4.85,4.95,791,0.5607,-0.3903,0.0225,3343
07/24/2020,MSFT200724C00202500,7.66,-2.115,7.6,7.7,1071,0.5686,0.5515,0.0229,720,202.500,MSFT200724P00202500,6.1,1.2,6.05,6.15,883,0.5645,-0.4484,0.023,2131
07/24/2020,MSFT200724C00205000,6.49,-1.91,6.4,6.5,4051,0.5683,0.4939,0.0231,6344,205.000,MSFT200724P00205000,7.45,1.475,7.35,7.45,755,0.5663,-0.5062,0.0232,3744
07/24/2020,MSFT200724C00207500,5.42,-1.755,5.35,5.4,3826,0.5689,0.4371,0.0228,3460,207.500,MSFT200724P00207500,8.89,1.64,8.75,8.9,248,0.5686,-0.5628,0.0228,2005
07/24/2020,MSFT200724C00210000,4.46,-1.59,4.4,4.5,4315,0.5726,0.3833,0.0219,8102,210.000,MSFT200724P00210000,10.42,1.795,10.35,10.45,499,0.5682,-0.6178,0.0221,2651
07/24/2020,MSFT200724C00212500,3.7,-1.3,3.6,3.7,1930,0.5737,0.332,0.0208,8497,212.500,MSFT200724P00212500,11.99,1.865,12.05,12.15,44,0.5715,-0.6687,0.0209,1045
07/24/2020,MSFT200724C00215000,2.97,-1.18,2.94,2.99,5774,0.5743,0.2842,0.0194,13501,215.000,MSFT200724P00215000,13.82,2.095,13.85,14.05,334,0.5732,-0.7162,0.0194,1056
07/24/2020,MSFT200724C00217500,2.39,-0.985,2.39,2.43,1111,0.5764,0.2412,0.0178,3167,217.500,MSFT200724P00217500,15.75,2.325,15.65,15.95,29,0.5662,-0.7633,0.0179,178
07/24/2020,MSFT200724C00220000,1.94,-0.8,1.91,1.96,6198,0.5792,0.203,0.016,15902,220.000,MSFT200724P00220000,18.68,3.33,17.8,18,11,0.5763,-0.7983,0.016,182
07/24/2020,MSFT200724C00222500,1.54,-0.67,1.54,1.58,522,0.5846,0.1706,0.0143,3368,222.500,MSFT200724P00222500,17.45,0,19.9,20.15,0,0.5802,-0.8314,0.0143,77
07/24/2020,MSFT200724C00225000,1.29,-0.505,1.25,1.28,1781,0.5903,0.1425,0.0125,7304,225.000,MSFT200724P00225000,21.95,2.525,22.1,22.4,2,0.5925,-0.8565,0.0126,43
07/24/2020,MSFT200724C00227500,1.04,-0.41,1.01,1.06,300,0.5988,0.1198,0.011,869,227.500,MSFT200724P00227500,23.2,0,24.35,24.75,0,0.5995,-0.8801,0.011,66
07/24/2020,MSFT200724C00230000,0.88,-0.305,0.84,0.88,991,0.6097,0.1014,0.0096,5490,230.000,MSFT200724P00230000,24.36,0,26.7,27.6,0,0.6601,-0.8788,0.01,89
07/24/2020,MSFT200724C00232500,0.72,-0.265,0.7,0.73,244,0.6195,0.0855,0.0083,1115,232.500,MSFT200724P00232500,22.05,0,29.05,29.35,0,0.617,-0.9154,0.0083,21
07/24/2020,MSFT200724C00235000,0.61,-0.205,0.6,0.62,301,0.6336,0.0736,0.0072,2312,235.000,MSFT200724P00235000,24.33,0,31.45,31.8,0,0.6374,-0.9251,0.0073,11
07/24/2020,MSFT200724C00240000,0.43,-0.155,0.44,0.46,1409,0.6574,0.0539,0.0055,4169,240.000,MSFT200724P00240000,30.09,0,36.15,36.65,0,0.6458,-0.9494,0.0053,181
07/24/2020,MSFT200724C00245000,0.33,-0.11,0.32,0.35,1381,0.6864,0.041,0.0042,3969,245.000,MSFT200724P00245000,0,0,41,41.85,0,0.7198,-0.9507,0.0047,0
07/31/2020,MSFT200731C00155000,52.65,0,48.75,49.8,0,0.7035,0.9767,0.0019,103,155.000,MSFT200731P00155000,0.1,0.025,0.09,0.1,30,0.6039,-0.0108,0.0011,746
07/31/2020,MSFT200731C00160000,45.2,-2.45,43.95,44.8,1,0.6699,0.9679,0.0026,6,160.000,MSFT200731P00160000,0.15,-0.005,0.13,0.15,19,0.5713,-0.0159,0.0017,533
07/31/2020,MSFT200731C00165000,39.3,-3.4,39.05,39.9,1,0.6268,0.9579,0.0034,118,165.000,MSFT200731P00165000,0.22,0.01,0.18,0.24,34,0.541,-0.0238,0.0025,581
07/31/2020,MSFT200731C00170000,40.91,0,34.2,34.65,0,0.5432,0.9558,0.0041,16,170.000,MSFT200731P00170000,0.35,0.04,0.3,0.36,27,0.5163,-0.0369,0.0038,310
07/31/2020,MSFT200731C00172500,31.8,-3.425,31.8,32.15,2,0.513,0.9514,0.0047,23,172.500,MSFT200731P00172500,0.44,0.05,0.4,0.45,12,0.5072,-0.0468,0.0046,263
07/31/2020,MSFT200731C00175000,33.11,0,29.5,29.85,0,0.5223,0.9326,0.006,13,175.000,MSFT200731P00175000,0.57,0.08,0.53,0.58,164,0.4999,-0.0596,0.0057,793
07/31/2020,MSFT200731C00177500,26.65,-3.925,27.1,27.55,1,0.5097,0.9183,0.0071,30,177.500,MSFT200731P00177500,0.7,0.075,0.69,0.75,103,0.4934,-0.0755,0.0069,497
07/31/2020,MSFT200731C00180000,24.75,-3.425,24.65,25.15,31,0.4819,0.9075,0.0083,80,180.000,MSFT200731P00180000,0.92,0.13,0.9,0.96,118,0.4863,-0.0944,0.0083,733
07/31/2020,MSFT200731C00182500,22.43,-3.47,22.5,22.9,18,0.4773,0.884,0.0099,27,182.500,MSFT200731P00182500,1.21,0.195,1.18,1.24,36,0.4825,-0.1183,0.0099,803
07/31/2020,MSFT200731C00185000,20.44,-3.16,20.45,20.75,26,0.4793,0.8534,0.0115,107,185.000,MSFT200731P00185000,1.63,0.33,1.54,1.6,81,0.4798,-0.1468,0.0115,2179
07/31/2020,MSFT200731C00187500,18.68,-2.845,18.45,18.7,26,0.4797,0.8194,0.0132,311,187.500,MSFT200731P00187500,1.99,0.335,1.98,2.06,158,0.4773,-0.1796,0.0132,808
07/31/2020,MSFT200731C00190000,16.65,-2.8,16.5,16.75,82,0.4782,0.7822,0.0148,621,190.000,MSFT200731P00190000,2.55,0.45,2.56,2.62,2612,0.4782,-0.2179,0.0148,4224
07/31/2020,MSFT200731C00192500,14.9,-2.6,14.25,14.95,11,0.4633,0.7463,0.0167,440,192.500,MSFT200731P00192500,3.26,0.62,3.2,3.3,32,0.4786,-0.2596,0.0163,946
07/31/2020,MSFT200731C00195000,13.1,-2.55,13.05,13.25,29,0.4808,0.6951,0.0175,548,195.000,MSFT200731P00195000,3.99,0.69,4,4.15,124,0.4793,-0.3045,0.0176,2056
07/31/2020,MSFT200731C00197500,11.5,-2.525,11.45,11.65,19,0.4818,0.6478,0.0186,790,197.500,MSFT200731P00197500,5,0.95,4.95,5.05,79,0.4802,-0.3519,0.0186,1019
07/31/2020,MSFT200731C00200000,10.2,-2.15,10.05,10.15,320,0.4826,0.5991,0.0193,1905,200.000,MSFT200731P00200000,6.04,1.115,6,6.1,185,0.4813,-0.4008,0.0193,2312
07/31/2020,MSFT200731C00202500,8.71,-2.165,8.7,8.85,374,0.4836,0.5495,0.0197,1254,202.500,MSFT200731P00202500,7.46,1.51,7.15,7.25,94,0.4822,-0.4504,0.0198,959
07/31/2020,MSFT200731C00205000,7.59,-1.885,7.5,7.65,1948,0.4843,0.5,0.0198,1685,205.000,MSFT200731P00205000,8.48,1.43,8.45,8.55,163,0.4831,-0.5001,0.0199,2468
07/31/2020,MSFT200731C00207500,6.47,-1.755,6.4,6.55,668,0.4843,0.4517,0.0197,1212,207.500,MSFT200731P00207500,9.85,1.575,9.85,9.95,43,0.4826,-0.5493,0.0198,555
07/31/2020,MSFT200731C00210000,5.48,-1.595,5.45,5.55,1324,0.4837,0.4032,0.0193,3780,210.000,MSFT200731P00210000,11.36,1.735,11.35,11.45,71,0.4806,-0.5976,0.0194,1187
07/31/2020,MSFT200731C00212500,4.62,-1.405,4.55,4.7,727,0.4832,0.358,0.0186,2601,212.500,MSFT200731P00212500,12.77,1.695,12.95,13.1,13,0.4796,-0.644,0.0187,564
07/31/2020,MSFT200731C00215000,3.88,-1.195,3.8,3.9,2214,0.4825,0.3137,0.0177,5133,215.000,MSFT200731P00215000,15,2.375,14.7,14.85,10,0.4795,-0.687,0.0178,522
07/31/2020,MSFT200731C00217500,3.2,-1.025,3.15,3.25,371,0.4824,0.2732,0.0166,7166,217.500,MSFT200731P00217500,16.65,2.4,16.45,16.7,4,0.4757,-0.7301,0.0167,195
07/31/2020,MSFT200731C00220000,2.64,-0.885,2.61,2.66,950,0.4821,0.2354,0.0154,9721,220.000,MSFT200731P00220000,15.52,0,18.45,18.7,0,0.4796,-0.7656,0.0154,80
07/31/2020,MSFT200731C00222500,2.19,-0.715,2.12,2.19,142,0.4815,0.2013,0.0141,2617,222.500,MSFT200731P00222500,19.84,0,20.35,20.65,0,0.4707,-0.8046,0.0141,13
07/31/2020,MSFT200731C00225000,1.78,-0.61,1.75,1.81,1103,0.4844,0.1725,0.0127,3860,225.000,MSFT200731P00225000,19.5,0,21.55,22.95,0,0.4315,-0.8581,0.0125,30
07/31/2020,MSFT200731C00227500,1.47,-0.5,1.43,1.5,61,0.4866,0.1466,0.0114,1497,227.500,MSFT200731P00227500,24.9,2.95,24.7,25.05,1,0.4795,-0.8571,0.0113,0
07/31/2020,MSFT200731C00230000,1.23,-0.395,1.22,1.24,708,0.4931,0.1261,0.0101,3074,230.000,MSFT200731P00230000,24.79,0,26.95,27.45,0,0.4908,-0.875,0.0101,9
07/31/2020,MSFT200731C00232500,1.03,-0.325,1,1.06,61,0.4979,0.1076,0.009,361,232.500,MSFT200731P00232500,29,2.575,28.65,29.65,1,0.4458,-0.9185,0.0081,0
07/31/2020,MSFT200731C00235000,0.89,-0.235,0.85,0.9,392,0.5059,0.0931,0.0079,5271,235.000,MSFT200731P00235000,28.95,0,31.55,32.45,0,0.5249,-0.898,0.0082,5
07/31/2020,MSFT200731C00240000,0.64,-0.165,0.62,0.68,253,0.5232,0.0704,0.0062,3013,240.000,MSFT200731P00240000,33.4,0,36.45,36.85,0,0.5286,-0.9274,0.0063,1
07/31/2020,MSFT200731C00245000,0.5,-0.115,0.47,0.53,271,0.5428,0.0545,0.0049,1483,245.000,MSFT200731P00245000,0,0,41.3,41.9,0,0.564,-0.938,0.0052,0
08/07/2020,MSFT200807C00165000,40.85,-1.9,38.15,39.75,3,0.02,1,0.0033,11,165.000,MSFT200807P00165000,0.43,0.085,0.35,0.42,69,0.4991,-0.0368,0.0032,550
08/07/2020,MSFT200807C00170000,33.99,-3.885,34.45,34.85,3,0.4863,0.9433,0.0047,2,170.000,MSFT200807P00170000,0.67,0.14,0.56,0.63,34,0.4819,-0.0552,0.0046,281
08/07/2020,MSFT200807C00172500,32.39,0,32.15,32.6,0,0.49,0.9268,0.0056,0,172.500,MSFT200807P00172500,0.89,0.24,0.71,0.78,1,0.4748,-0.0677,0.0055,72
08/07/2020,MSFT200807C00175000,36.4,0,29.7,30.15,0,0.4696,0.9168,0.0065,3,175.000,MSFT200807P00175000,0.96,0.155,0.9,0.97,34,0.4689,-0.083,0.0065,406
08/07/2020,MSFT200807C00177500,31.4,0,27.45,27.9,0,0.4605,0.9006,0.0076,34,177.500,MSFT200807P00177500,1.19,0.19,1.14,1.21,22,0.4649,-0.1011,0.0076,257
08/07/2020,MSFT200807C00180000,24.8,-3.9,24.75,25.95,7,0.4478,0.8831,0.0087,34,180.000,MSFT200807P00180000,1.42,0.175,1.43,1.51,41,0.4598,-0.1225,0.0088,344
08/07/2020,MSFT200807C00182500,27.25,0,23.1,24.7,0,0.5021,0.8323,0.0099,12,182.500,MSFT200807P00182500,1.87,0.33,1.78,1.88,27,0.4565,-0.147,0.01,70
08/07/2020,MSFT200807C00185000,20.14,-4.185,20.25,21.5,3,0.4235,0.8386,0.0115,28,185.000,MSFT200807P00185000,2.3,0.41,2.22,2.31,82,0.4534,-0.1752,0.0113,1029
08/07/2020,MSFT200807C00187500,18.2,-4.025,19.2,19.5,4,0.4555,0.7903,0.0126,38,187.500,MSFT200807P00187500,3.07,0.76,2.74,2.83,59,0.4505,-0.2071,0.0126,193
08/07/2020,MSFT200807C00190000,17.08,-3.245,17.35,17.75,4,0.4571,0.7545,0.0137,48,190.000,MSFT200807P00190000,3.4,0.585,3.35,3.45,85,0.4481,-0.2419,0.0139,672
08/07/2020,MSFT200807C00192500,14.8,-3.525,15.6,15.85,1,0.4512,0.7184,0.0149,57,192.500,MSFT200807P00192500,4.1,0.7,4.05,4.2,164,0.4469,-0.28,0.015,372
08/07/2020,MSFT200807C00195000,13.4,-3.2,13.95,14.15,13,0.4479,0.679,0.0159,295,195.000,MSFT200807P00195000,4.9,0.825,4.85,5,162,0.4456,-0.3204,0.016,974
08/07/2020,MSFT200807C00197500,11.85,-2.95,12.35,12.55,13,0.4461,0.6375,0.0167,193,197.500,MSFT200807P00197500,5.85,1,5.8,5.9,39,0.4434,-0.3619,0.0168,573
08/07/2020,MSFT200807C00200000,11,-2.2,10.9,11.1,111,0.444,0.5933,0.0174,268,200.000,MSFT200807P00200000,6.85,1.125,6.8,6.95,559,0.4418,-0.4064,0.0175,1437
08/07/2020,MSFT200807C00202500,9.45,-2.25,9.55,9.7,80,0.4433,0.5482,0.0178,266,202.500,MSFT200807P00202500,7.97,1.245,7.95,8.1,25,0.4403,-0.4512,0.0179,190
08/07/2020,MSFT200807C00205000,8.37,-1.93,8.3,8.5,445,0.4416,0.5038,0.018,569,205.000,MSFT200807P00205000,9.3,1.45,9.2,9.35,533,0.438,-0.4957,0.0181,527
08/07/2020,MSFT200807C00207500,7.25,-1.75,7.15,7.3,159,0.4387,0.459,0.018,963,207.500,MSFT200807P00207500,10.97,1.92,10.55,10.75,5,0.4355,-0.5416,0.0181,100
08/07/2020,MSFT200807C00210000,6.2,-1.6,6.15,6.25,212,0.436,0.4152,0.0178,1339,210.000,MSFT200807P00210000,12.5,2.15,12,12.2,9,0.4323,-0.5866,0.0179,869
08/07/2020,MSFT200807C00212500,5.27,-1.455,5.2,5.35,159,0.4346,0.3716,0.0173,1084,212.500,MSFT200807P00212500,14.38,2.58,13.6,13.75,3,0.4312,-0.6297,0.0174,250
